Customer_ID,Source_System,Customer_Type,Business_Line,First_Name,Last_Name,Business_Name,Date_of_Birth,SSN_EIN,Email,Phone,Address_Line1,City,State,Zip_Code,Account_Open_Date,Customer_Status,Risk_Rating,KYC_Date,KYC_Status,Annual_Income,Credit_Score,Segment,Branch_ID,Last_Updated
CUST-10120,T24_Core,Individual,Retail Banking,Ashley,Miller,,21280,302-61-7098,ashley.miller@comcast.net,(845) 860-2376,1769 Pine Rd,Detroit,MI,60783,43747,Active,Low,43942,Expired,237152,615,Mass Market,BR-043,44941
CUST-10245,Dynamics_CRM,Individual,Retail Banking,Robert,Snachez,,20632,169-54-4950,,,813 Lincoln Ave,Ann Arbor,MI,,44858,Active,Low,44000,Current,238256,639,High Net Worth,BR-062,45742
CUST-10130,T24_Core,Individual,Retail Banking,Paul,Nguyen,,28382,874-85-4727,paul.nguyen@aol.com,(262) 596-9561,2576 Maple Ln,Chicago,IL,103787,42635,Active,High,44418,Current,128495,567,Mass Market,BR-016,45357
CUST-10020,T24_Core,Individual,Retail Banking,Dorothy,Roberts,,25703,179-46-4841,dorothy.roberts@hotmail.com,(543) 527-9849,4643 Dearborn Ave,South Bend,IN,101074,40607,Active,Medium,45739,Current,41837,762,Affluent,BR-043,45883
CUST-10107,T24_Core,Individual,Retail Banking,Barbara,Clark,,27668,989-21-8511,barbara.clark@comcast.net,(880) 914-6869,4658 Washington Blvd,Toledo,OH,91984,44983,Active,Medium,44404,Current,154686,687,Affluent,BR-037,45554
CUST-10204,T24_Core,Small Business,Small Business Banking,JOSEPH,RAMIREZ,Sterling Accounting,,22-5799841,,(552) 620-5327,2528 Maple Ln,Indianapolis,IN,96876,43420,Active,High,,Current,2410341,703,Small Business,BR-080,45984
CUST-10037,T24_Core,Individual,Retail Banking,Gary,Scott,,26778,192-65-2612,gary.scott@comcast.net,(920) 302-8269,1221 Lake Shore Dr,Aurora,IL,104852,41253,Active,Low,44571,Current,123262,770,Mass Market,BR-032,45857
CUST-10129,T24_Core,Individual,Retail Banking,Kathleen,Wilson,,26711,964-24-6052,kathleen.wilson@outlook.com,,521 Park Way,Naperville,IL,101824,40865,Active,Low,44754,Current,141857,,Affluent,BR-057,45420
CUST-10256,Salesforce_CRM,Small Business,Small Business Banking,Bar.,Harris,Horizon Fitness Studio,,68-5560602,barbara.harris@outlook.com,(906) 689-7909,3096 Maple Ln,Kenosha,WI,86230,44624,Active,Low,45993,Current,970008,706,Small Business Premium,BR-073,45875
CUST-10093,T24_Core,Individual,Retail Banking,Ronald,Jones,,36049,493-27-2284,ronald.jones@aol.com,(963) 554-1879,2761 Lake Shore Dr,Racine,WI,85503,40732,Active,Medium,45585,Current,227782,717,Mass Market,BR-082,45520
CUST-10233,Salesforce_CRM,Individual,Retail Banking,Susan,Sanchez,,28272,914-39-4652,susan.sanchez@yahoo.com,(763) 828-1852,7811 Lake Shore Dr,Naperville,IL,90166,42152,Active,Low,44882,Current,203131,824,Affluent,BR-004,45052
CUST-10066,T24_Core,Individual,Retail Banking,Jeffrey,Garcia,,26812,261-99-3852,jeffrey.garcia@hotmail.com,(720) 429-2988,5792 Elm Dr,Racine,WI,95531,41341,Active,Low,44823,Current,147527,832,Mass Market,BR-079,44967
CUST-10052,T24_Core,Individual,Retail Banking,Mark,Thompson,,31892,457-54-3419,mark.thompson@yahoo.com,,1351 Dearborn Ave,Indianapolis,IN,94773,41353,Active,Low,44516,Expired,,838,High Net Worth,BR-073,45981
CUST-10244,JackHenry_Legacy,Individual,Retail Banking,Barbara,Nelson,,24134,506-73-4052,barbara.nelson@comcast.net,,2876 Oak Ave,Cincinnati,OH,75679,41932,Active,Medium,,Expired,162446,802,Mass Market,BR-065,45419
CUST-10030,T24_Core,Individual,Retail Banking,Donald,Lopez,,30670,581-47-1534,donald.lopez@yahoo.com,(495) 923-5632,1329 Cedar Blvd,Columbus,OH,86772,44411,Active,Low,45952,Current,136447,608,Mass Market,BR-083,45073
CUST-10012,T24_Core,Individual,Retail Banking,Richard,Jones,,28164,478-46-3584,richard.jones@outlook.com,(756) 920-5956,3592 Dearborn Ave,Cincinnati,OH,68680,43786,Active,High,44869,Current,94328,609,Mass Market,BR-071,45056
CUST-10222,JackHenry_Legacy,Individual,Retail Banking,Cynthia,Rivera,,20956,218-22-4846,cynthia.rivera@aol.com,(338) 597-8432,6789 Maple Ln,Madison,WI,62971,42332,Inactive,Medium,45650,Current,133759,600,High Net Worth,BR-079,44113
CUST-10034,T24_Core,Individual,Retail Banking,Edward,Garcia,,23612,398-75-5479,edward.garcia@outlook.com,(694) 683-4993,1958 Madison Dr,Indianapolis,IN,102448,42983,Active,Low,45559,Current,43300,691,Affluent,BR-044,45804
CUST-10076,T24_Core,Individual,Retail Banking,Gary,Perez,,33560,488-60-6654,gary.perez@yahoo.com,(497) 243-5712,5814 Michigan Ave,Ann Arbor,MI,67987,44239,Active,Low,45876,Current,242042,825,Affluent,BR-072,45782
CUST-10262,T24_Core,Individual,Retail Banking,EDWARD,GARCIA,,,398-75-5479,edward.garcia@outlook.com,,1958 Madison Dr,Indianapolis,IN,,42983,Active,Low,45559,Current,43300,691,Affluent,BR-044,45804
CUST-10085,T24_Core,Individual,Retail Banking,Linda,Rodriguez,,33536,788-51-4881,linda.rodriguez@hotmail.com,(346) 876-9540,4839 Lake Shore Dr,Dayton,OH,80899,41465,Active,Low,45589,Current,189100,768,High Net Worth,BR-007,45618
CUST-10072,T24_Core,Individual,Retail Banking,Matthew,Harris,,,945-89-2946,matthew.harris@yahoo.com,(299) 603-7114,4828 Elm Dr,Toledo,OH,93046,44730,Active,Low,44486,Current,,570,Mass Market,BR-005,45271
CUST-10159,T24_Core,Commercial,Commercial Banking,Stephanie,Garcia,Heartland Agricultural Co-op,,56-5925360,stephanie.garcia@heartlandagriculturalco-op.com,(423) 970-9691,3724 Park Way,Green Bay,WI,81696,45196,Active,Low,,Expired,37258945,,Commercial,BR-020,44948
CUST-10009,T24_Core,Individual,Retail Banking,Richard,Brown,,24730,243-64-4006,,(673) 455-2235,5659 Maple Ln,Grand Rapids,MI,,42982,Active,High,,Current,68597,758,High Net Worth,BR-062,45109
CUST-10232,Dynamics_CRM,Individual,Retail Banking,NANCY,HERNANDEZ,,25799,246-39-8555,nancy.hernandez@comcast.net,(460) 670-5183,1393 Lincoln Ave,Carmel,IN,104769,43856,Active,Low,45906,Current,,,Affluent,BR-082,45635
CUST-10118,T24_Core,Individual,Retail Banking,Linda,Lewis,,29582,853-51-6211,linda.lewis@outlook.com,,3979 State St,Bloomington,IN,80644,41358,Inactive,Low,44233,Expired,147173,710,Affluent,BR-016,45833
CUST-10053,T24_Core,Individual,Retail Banking,Michelle,Adams,,30630,915-45-1920,michelle.adams@hotmail.com,(719) 275-6085,2573 Madison Dr,Milwaukee,WI,90731,42949,Active,Medium,44613,Current,186220,,Affluent,BR-060,45926
CUST-10246,JackHenry_Legacy,Individual,Retail Banking,Rebecca,Harris,,33635,368-37-1652,rebecca.harris@gmail.com,(607) 718-5693,4620 Lincoln Ave,Springfield,IL,103886,44182,Active,Medium,45841,Expired,165943,628,Affluent,BR-011,45339
CUST-10143,T24_Core,Small Business,Small Business Banking,Mark,Mitchell,Cornerstone Dental,,31-3066315,mark.mitchell@hotmail.com,(928) 866-1612,3560 Main St,Carmel,IN,93071,43413,Active,High,45311,Current,1006921,767,Small Business,BR-007,45702
CUST-10136,T24_Core,Small Business,Small Business Banking,Margaret,Thomas,Ironbridge Manufacturing,,12-1149283,margaret.thomas@outlook.com,(335) 862-3837,3487 Michigan Ave,South Bend,IN,93638,44204,Active,Medium,45435,Current,3655149,696,Small Business Premium,BR-059,45397
CUST-10041,T24_Core,Individual,Retail Banking,Christopher,Roberts,,20227,226-68-7038,christopher.roberts@comcast.net,(966) 888-5295,6611 Washington Blvd,Indianapolis,IN,85858,43673,Active,Low,45763,Current,187410,837,Affluent,BR-079,45233
CUST-10084,T24_Core,Individual,Retail Banking,Jason,Scott,,23504,996-24-1527,jason.scott@comcast.net,(629) 829-1256,3862 Lake Shore Dr,Lansing,MI,82685,41367,Active,High,44063,Current,89155,572,Affluent,BR-057,45176
CUST-10087,T24_Core,Individual,Retail Banking,Laura,Harris,,29179,717-15-2192,laura.harris@yahoo.com,(979) 801-4555,8875 Park Way,Chicago,IL,77593,42853,Active,Low,43928,Current,220789,795,Mass Market,BR-078,45760
CUST-10044,T24_Core,Individual,Retail Banking,Margaret,Thomas,,23263,917-32-2801,margaret.thomas@comcast.net,(226) 334-1243,2517 Main St,Green Bay,WI,69482,42113,Active,Low,44318,Current,219436,765,Mass Market,BR-009,45529
CUST-10058,T24_Core,Individual,Retail Banking,Steven,Brown,,26720,264-44-8361,steven.brown@aol.com,(350) 647-2502,6181 Maple Ln,Kalamazoo,MI,68170,45409,Active,Medium,44014,Current,156598,741,Mass Market,BR-050,45085
CUST-10098,T24_Core,Individual,Retail Banking,Emily,Rivera,,27128,774-29-7932,emily.rivera@outlook.com,(275) 659-8851,6803 Clark St,Naperville,IL,101506,43664,Active,Medium,45317,Current,208929,824,Mass Market,BR-014,45252
CUST-10225,Dynamics_CRM,Individual,Retail Banking,CAROL,LOPEZ,,22264,180-65-3956,carol.lopez@aol.com,,8251 Washington Blvd,Kalamazoo,MI,,40716,Active,Low,45222,Current,68684,,Affluent,BR-058,45288
CUST-10239,Dynamics_CRM,Individual,Retail Banking,Barbara,Roberst,,35996,165-59-7252,barbara.roberts@aol.com,(679) 741-5119,1896 Pine Rd,Aurora,IL,70484,43122,Active,High,44876,Current,101939,772,Mass Market,BR-059,45284
CUST-10265,JackHenry_Legacy,Individual,Retail Banking,Donald,Torres,,35226,367-56-9401,donald.torres@outlook.com,(677) 300-8692,6857 Washington Blvd,Racine,WI,95104,44719,Active,Medium,44945,Current,219314,624,Mass Market,BR-034,45949
CUST-10170,T24_Core,Commercial,Commercial Banking,Kimberly,Carter,Midwest Healthcare Partners,,58-7128662,kimberly.carter@midwesthealthcarepartners.com,(801) 869-2275,9580 Cedar Blvd,Kenosha,WI,,42559,Active,High,,Expired,70345452,,Commercial,BR-016,44809
CUST-10212,JackHenry_Legacy,Small Business,Small Business Banking,Rebecca,Hall,Ironbridge Manufacturing,,23-1423996,rebecca.hall@outlook.com,(348) 254-1927,4784 Jefferson St,Columbus,OH,94257,42149,Inactive,Low,44874,Current,620369,776,Small Business Premium,BR-027,43703
CUST-10115,T24_Core,Individual,Retail Banking,Sandra,Carter,,21044,492-29-3932,sandra.carter@gmail.com,(766) 931-7870,142 Oak Ave,Columbus,OH,76026,41433,Active,Medium,44611,Current,56300,807,Mass Market,BR-023,45171
CUST-10235,Dynamics_CRM,Individual,Retail Banking,RONALD,CAMPBELL,,21620,757-19-8372,ronald.campbell@outlook.com,(896) 729-6644,8712 Jefferson St,Lansing,MI,97676,41173,Inactive,Low,44394,Current,242944,613,Mass Market,BR-039,44996
CUST-10169,T24_Core,Commercial,Commercial Banking,Christopher,Carter,Prairie Wind Energy LLC,,72-4888118,christopher.carter@prairiewindenergyllc.com,(264) 470-7052,5978 Oak Ave,Grand Rapids,MI,109903,42026,Active,Medium,45456,Expired,66021210,,Commercial,BR-002,44876
CUST-10082,T24_Core,Individual,Retail Banking,Gary,Garcia,,31973,677-17-8575,gary.garcia@comcast.net,(515) 940-1356,7398 Oak Ave,Toledo,OH,68647,42517,Active,Low,45324,Current,115316,582,Mass Market,BR-009,45301
CUST-10045,T24_Core,Individual,Retail Banking,George,King,,34358,902-94-9543,george.king@hotmail.com,(669) 858-1510,1886 Madison Dr,Dayton,OH,74519,40418,Active,Medium,,Expired,,591,Affluent,BR-078,44962
CUST-10063,T24_Core,Individual,Retail Banking,Carol,Lopez,,22264,180-65-3956,carol.lopez@aol.com,(500) 528-2680,8251 Washington Blvd,Kalamazoo,MI,77479,40716,Active,Low,45222,Current,68684,777,Affluent,BR-058,45288
CUST-10038,T24_Core,Individual,Retail Banking,Nancy,Hernandez,,25799,246-39-8555,nancy.hernandez@comcast.net,(460) 670-5183,1393 Lincoln Ave,Carmel,IN,104769,43856,Active,Low,45906,Current,140796,726,Affluent,BR-082,45635
CUST-10140,T24_Core,Small Business,Small Business Banking,Timothy,Wright,Oakwood Senior Living,,35-6749046,timothy.wright@outlook.com,(783) 668-3346,6868 Oak Ave,Madison,WI,69002,43075,Active,Low,45098,Current,2729107,762,Small Business,BR-001,45419
CUST-10237,JackHenry_Legacy,Small Business,Small Business Banking,John,Clark,Crossroads Pharmacy,,57-1339451,,(510) 518-5593,1411 Oak Ave,Kenosha,WI,,43821,Active,Low,44265,Expired,,668,Small Business Premium,BR-078,45695
CUST-10065,T24_Core,Individual,Retail Banking,Elizabeth,Nguyen,,35193,216-13-4048,elizabeth.nguyen@outlook.com,(730) 596-2929,8774 Washington Blvd,South Bend,IN,80603,41782,Active,Low,45435,Expired,77475,612,Mass Market,BR-010,45374
CUST-10210,Dynamics_CRM,Individual,Retail Banking,CHRISTOPHER,ROBERTS,,20227,226-68-7038,christopher.roberts@comcast.net,(966) 888-5295,6611 Washington Blvd,Indianapolis,IN,85858,43673,Active,Low,45763,Current,187410,837,Affluent,BR-079,45233
CUST-10156,T24_Core,Commercial,Commercial Banking,Laura,Miller,Keystone Bridge Builders,,40-9571853,laura.miller@keystonebridgebuilders.com,(912) 494-1769,9305 Lake Shore Dr,Dayton,OH,85486,44026,Active,Medium,45292,Current,32257905,,Commercial,BR-020,45768
CUST-10131,T24_Core,Small Business,Small Business Banking,Matthew,Rodriguez,Windy City Catering,,35-3480985,matthew.rodriguez@aol.com,(464) 527-2097,7036 Elm Dr,Aurora,IL,88533,41473,Active,Medium,45471,Current,,,Small Business,BR-080,45926
CUST-10036,T24_Core,Individual,Retail Banking,John,Rodriguez,,22539,115-28-7717,john.rodriguez@comcast.net,(358) 276-8692,9769 Broadway,Columbus,OH,88855,44692,Inactive,Medium,45716,Current,248436,823,Affluent,BR-041,46016
CUST-10022,T24_Core,Individual,Retail Banking,Patricia,Clark,,30038,572-33-1823,patricia.clark@hotmail.com,(588) 535-4467,9346 Main St,Columbus,OH,102123,42897,Active,Low,45073,Current,148288,559,Mass Market,BR-045,45233
CUST-10259,Dynamics_CRM,Individual,Retail Banking,Paul,Thomspon,,28832,163-95-2936,paul.thompson@outlook.com,(514) 363-7642,9643 Main St,Green Bay,WI,102839,44097,Active,Low,45789,Pending,82894,662,Mass Market,BR-062,45162
CUST-10091,T24_Core,Individual,Retail Banking,Kimberly,Scott,,22329,252-40-4144,kimberly.scott@aol.com,(739) 458-6807,380 Dearborn Ave,Kenosha,WI,71748,41823,Active,Medium,45207,Current,103636,591,Mass Market,BR-012,45486
CUST-10247,JackHenry_Legacy,Individual,Retail Banking,Sarah,Jones,,24483,417-75-7524,sarah.jones@aol.com,(684) 459-1599,705 State St,Grand Rapids,MI,62870,44872,Inactive,Medium,44146,Current,57630,738,Affluent,BR-052,44476
CUST-10031,T24_Core,Individual,Retail Banking,Christopher,Jones,,33373,227-69-5982,christopher.jones@comcast.net,(612) 478-9199,2818 State St,Joliet,IL,,43327,Active,High,44036,Current,183259,678,Mass Market,BR-012,45257
CUST-10015,T24_Core,Individual,Retail Banking,Susan,Sanchez,,28272,914-39-4652,susan.sanchez@gmail.com,(875) 397-7528,7811 Lake Shore Dr,Naperville,IL,90166,42152,Active,Low,44882,Current,203131,824,Affluent,BR-004,45052
CUST-10028,T24_Core,Individual,Retail Banking,Daniel,Lee,,21438,814-26-9042,,(212) 787-5658,8851 Pine Rd,Springfield,IL,62982,42962,Active,Low,43979,Expired,54907,583,Affluent,BR-063,45220
CUST-10007,T24_Core,Individual,Retail Banking,David,Roberts,,23879,993-87-7932,david.roberts@yahoo.com,(752) 973-4295,2160 Pine Rd,Toledo,OH,96031,44329,Active,Medium,45508,Current,83903,582,Affluent,BR-003,45908
CUST-10201,JackHenry_Legacy,Individual,Retail Banking,Melissa,Anderson,,35964,760-55-1992,melissa.anderson@outlook.com,(482) 394-3001,7385 Lake Shore Dr,Ann Arbor,MI,66511,45141,Inactive,High,43856,Current,88850,614,Mass Market,BR-009,43497
CUST-10231,JackHenry_Legacy,Individual,Retail Banking,Nancy,Jones,,33347,708-15-2343,nancy.jones@outlook.com,(873) 797-9565,1213 Lake Shore Dr,Toledo,OH,67856,42131,Inactive,Low,44747,Current,144858,711,Mass Market,BR-002,43503
CUST-10148,T24_Core,Small Business,Small Business Banking,Timothy,Phillips,Maple Grove Realty,,24-7900204,timothy.phillips@outlook.com,(247) 264-5286,572 Pine Rd,Kenosha,WI,91989,44713,Active,High,,Pending,,771,Small Business Premium,BR-067,46014
CUST-10200,Salesforce_CRM,Individual,Retail Banking,Ant.,Martinez,,35390,167-49-8167,anthony.martinez@comcast.net,(444) 259-5005,5453 Lincoln Ave,Dayton,OH,101569,40728,Active,High,45301,Current,56311,556,Mass Market,BR-002,45150
CUST-10202,JackHenry_Legacy,Individual,Retail Banking,Patricia,Perez,,26899,951-27-8685,patricia.perez@outlook.com,(830) 205-2298,8363 Jefferson St,Cleveland,OH,99682,40305,Active,High,45947,Current,54146,697,Mass Market,BR-039,44934
CUST-10110,T24_Core,Individual,Retail Banking,Joshua,Rodriguez,,33258,765-31-8210,joshua.rodriguez@hotmail.com,(939) 418-3480,2281 Pine Rd,Detroit,MI,94767,45493,Active,Low,43866,Current,179553,746,Affluent,BR-055,45359
CUST-10103,T24_Core,Individual,Retail Banking,Sarah,Nguyen,,32863,277-81-3733,sarah.nguyen@outlook.com,(495) 343-4065,7031 Cedar Blvd,Lansing,MI,101648,42236,Active,Medium,44048,Current,238703,746,High Net Worth,BR-053,45883
CUST-10071,T24_Core,Individual,Retail Banking,Amy,Lee,,30779,697-55-1797,,(488) 706-8710,479 Elm Dr,Lansing,MI,93124,41883,Active,Medium,44340,Current,,,Affluent,BR-006,45310
CUST-10147,T24_Core,Small Business,Small Business Banking,Barbara,Harris,Horizon Fitness Studio,,68-5560602,barbara.harris@outlook.com,(906) 689-7909,3096 Maple Ln,Kenosha,WI,86230,44624,Active,Low,45993,Current,970008,706,Small Business Premium,BR-073,45875
CUST-10081,T24_Core,Individual,Retail Banking,Melissa,Ramirez,,,557-77-6927,melissa.ramirez@gmail.com,,7814 Park Way,Cleveland,OH,104586,45186,Active,High,45357,Current,,816,High Net Worth,BR-015,45770
CUST-10203,Salesforce_CRM,Individual,Retail Banking,Dor.,Roberts,,25703,179-46-4841,dorothy.roberts@hotmail.com,(543) 527-9849,4643 Dearborn Ave,South Bend,IN,101074,40607,Active,Medium,45739,Current,,762,Affluent,BR-043,45883
CUST-10209,Dynamics_CRM,Individual,Retail Banking,Susan,Whtie,,25412,674-89-1430,susan.white@aol.com,(873) 910-5381,6122 Maple Ln,Cincinnati,OH,97624,40246,Active,Medium,44567,Current,173457,755,Mass Market,BR-019,45962
CUST-10240,Salesforce_CRM,Individual,Retail Banking,Jac.,Wright,,34491,502-88-5902,jacob.wright@aol.com,(544) 719-9351,2540 Dearborn Ave,Grand Rapids,MI,81493,43335,Inactive,Low,44938,Current,201634,606,Affluent,BR-075,45654
CUST-10101,T24_Core,Individual,Retail Banking,Jason,Walker,,,129-88-4232,jason.walker@outlook.com,,6736 Cedar Blvd,Fort Wayne,IN,101974,40519,Active,Low,45707,Current,234584,824,Mass Market,BR-047,45397
CUST-10217,JackHenry_Legacy,Individual,Retail Banking,Don.,Lopez,,30670,581-47-1534,donald.lopez@yahoo.com,(495) 923-5632,1329 Cedar Blvd,Columbus,OH,86772,44411,Active,Low,45952,Current,136447,608,Mass Market,BR-083,45073
CUST-10258,Salesforce_CRM,Individual,Retail Banking,RONALD,CAMPBELL,,27353,924-25-1672,ronald.campbell@hotmail.com,(745) 638-7071,1345 Lake Shore Dr,Indianapolis,IN,105691,40807,Active,Low,45142,Current,119945,785,Mass Market,BR-056,45277
CUST-10086,T24_Core,Individual,Retail Banking,Timothy,Wright,,28939,650-70-4948,timothy.wright@yahoo.com,(507) 924-3365,6921 Jefferson St,Madison,WI,79653,44775,Active,Medium,45186,Current,126821,674,Affluent,BR-027,45599
CUST-10241,JackHenry_Legacy,Individual,Retail Banking,Patricia,Clark,,30038,572-33-1823,patricia.clark@hotmail.com,(588) 535-4467,9346 Main St,Columbus,OH,102123,42897,Inactive,Low,,Current,148288,559,Mass Market,BR-045,43218
CUST-10149,T24_Core,Small Business,Small Business Banking,Richard,Lewis,Maple Grove Realty,,81-1915467,richard.lewis@gmail.com,(858) 360-9283,7995 Washington Blvd,South Bend,IN,69742,43705,Active,Low,44054,Current,2875747,671,Small Business,BR-065,45190
CUST-10248,T24_Core,Individual,Retail Banking,KATHLEEN,WILSON,,26711,964-24-6052,kathleen.wilson@outlook.com,(682) 700-5341,521 Park Way,Naperville,IL,101824,40865,Active,Low,44754,Current,141857,572,Affluent,BR-057,45420
CUST-10026,T24_Core,Individual,Retail Banking,Kimberly,Torres,,29816,876-40-8800,kimberly.torres@comcast.net,(928) 702-8342,8564 Park Way,Chicago,IL,75817,44564,Active,Low,45268,Current,199053,847,Affluent,BR-061,45912
CUST-10125,T24_Core,Individual,Retail Banking,Charles,Mitchell,,33227,905-55-4657,charles.mitchell@comcast.net,(803) 379-7199,8082 Broadway,Grand Rapids,MI,106345,41996,Active,Low,44531,Pending,127655,840,Mass Market,BR-024,45834
CUST-10095,T24_Core,Individual,Retail Banking,Barbara,Lopez,,20497,667-21-6315,barbara.lopez@outlook.com,(212) 498-7779,7453 Dearborn Ave,Lansing,MI,66769,42424,Active,Low,45541,Current,69433,621,Affluent,BR-039,45509
CUST-10154,T24_Core,Small Business,Small Business Banking,Sarah,Rodriguez,Pioneer Construction,,80-6266549,sarah.rodriguez@comcast.net,(954) 766-4560,9971 Dearborn Ave,Ann Arbor,MI,105973,42114,Active,Medium,45830,Current,1591601,728,Small Business Premium,BR-015,45551
CUST-10205,T24_Core,Commercial,Commercial Banking,MICHAEL,ROBERTS,Midwest Automotive Group,,18-5205840,michael.roberts@midwestautomotivegroup.com,(300) 402-8982,7657 Elm Dr,Cincinnati,OH,104019,43256,Active,Medium,,Current,30970938,,Commercial,BR-011,45880
CUST-10104,T24_Core,Individual,Retail Banking,Jeffrey,Allen,,20948,650-46-3755,jeffrey.allen@outlook.com,(779) 960-9115,1454 Main St,Fort Wayne,IN,79142,43347,Inactive,Low,44831,Current,167093,571,High Net Worth,BR-070,45111
CUST-10050,T24_Core,Individual,Retail Banking,Gary,Wright,,21192,408-37-3248,gary.wright@hotmail.com,(496) 535-2965,844 Lake Shore Dr,Kenosha,WI,99277,40414,Active,Low,44395,Current,156140,836,Affluent,BR-010,45628
CUST-10032,T24_Core,Individual,Retail Banking,Robert,Roberts,,32462,384-33-8141,robert.roberts@comcast.net,(703) 293-8700,9541 Oak Ave,Madison,WI,90834,42196,Active,Low,44361,Expired,100554,755,Mass Market,BR-059,45086
CUST-10092,T24_Core,Individual,Retail Banking,Jacob,Brown,,,978-22-9653,jacob.brown@gmail.com,(435) 416-8790,2907 Elm Dr,Evanston,IL,,41642,Active,High,45598,Current,247934,711,Mass Market,BR-027,45741
CUST-10099,T24_Core,Individual,Retail Banking,Amanda,Hernandez,,22285,364-38-9366,amanda.hernandez@comcast.net,(731) 771-4621,825 Lincoln Ave,Cincinnati,OH,88210,42899,Active,High,45905,Current,31438,797,Mass Market,BR-038,45326
CUST-10016,T24_Core,Individual,Retail Banking,Dorothy,Williams,,27595,623-24-7311,dorothy.williams@aol.com,(394) 460-1727,9874 Jefferson St,Springfield,IL,107745,44378,Active,High,46015,Current,120478,770,Mass Market,BR-043,45830
CUST-10218,T24_Core,Individual,Retail Banking,LINDA,THOMAS,,20260,306-26-6582,linda.thomas@comcast.net,,3684 Main St,Dayton,OH,91325,40256,Active,Low,45446,Current,,752,Mass Market,BR-044,45448
CUST-10220,Salesforce_CRM,Small Business,Small Business Banking,Anthony,Nelson,Blue Ridge Landscaping,,68-6569576,anthony.nelson@aol.com,(618) 570-2746,5684 Washington Blvd,Detroit,MI,74609,45242,Active,High,43886,Current,118429,687,Small Business Premium,BR-082,45552
CUST-10105,T24_Core,Individual,Retail Banking,Ashley,Lee,,30372,931-40-4438,ashley.lee@comcast.net,(802) 905-6744,7468 Michigan Ave,Springfield,IL,65700,45280,Active,Low,45377,Current,238261,655,Mass Market,BR-073,45544
CUST-10142,T24_Core,Small Business,Small Business Banking,Brian,Lee,Cornerstone Dental,,49-3802133,brian.lee@gmail.com,(246) 505-5764,1782 Lincoln Ave,Carmel,IN,98579,43816,Active,High,45457,Current,2975051,725,Small Business Premium,BR-025,45108
CUST-10122,T24_Core,Individual,Retail Banking,Sarah,Ramirez,,29201,591-79-8940,sarah.ramirez@hotmail.com,(779) 714-6269,8714 Lake Shore Dr,Carmel,IN,61279,42496,Active,Medium,45383,Current,40359,791,Affluent,BR-075,44989
